,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,592146,0,2020-09-13T15:30:00+00:00,Tottenham Hotspur Stadium,47,45,0,0,0,1,5,4,1,7,9,15,3,4,8,10,1,5,15,7,5,3,0,1,51%,49%,1,0,,,3,5,552,529,470,450,85%,85%
1,592154,2,2020-09-19T11:30:00+00:00,Goodison Park,45,60,2,1,5,2,7,4,5,1,17,6,5,1,13,2,4,4,9,11,11,1,1,1,71%,29%,1,0,0,1,2,2,799,322,722,253,90%,79%
2,592163,0,2020-09-26T14:00:00+00:00,Selhurst Park,52,45,1,2,1,2,1,5,2,3,8,10,5,2,5,7,3,3,16,15,7,6,1,0,42%,58%,3,1,,,3,0,370,524,281,433,76%,83%
3,592174,2,2020-10-03T14:00:00+00:00,Goodison Park,45,51,2,1,4,2,6,3,2,3,11,11,3,5,6,6,5,5,13,14,3,10,0,2,43%,57%,0,1,,,1,2,474,618,404,526,85%,85%
4,592183,1,2020-10-17T11:30:00+00:00,Goodison Park,45,40,1,1,2,2,5,8,5,8,11,22,1,6,6,15,5,7,15,9,2,5,2,3,41%,59%,3,2,1,0,6,3,380,524,284,437,75%,83%
5,592198,2,2020-10-25T14:00:00+00:00,St. Mary's Stadium,41,45,2,0,2,0,6,2,6,1,13,6,1,3,10,3,3,3,11,11,4,5,1,1,54%,46%,1,2,0,1,2,4,610,509,539,435,88%,85%
6,592207,2,2020-11-01T14:00:00+00:00,St. James' Park,34,45,0,0,2,1,4,4,3,6,11,15,4,5,7,9,4,6,9,10,5,4,1,0,37%,63%,2,4,,,3,2,369,607,285,547,77%,90%
7,592215,0,2020-11-07T12:30:00+00:00,Goodison Park,45,33,1,2,1,3,1,5,5,5,7,13,1,3,5,7,2,6,12,19,5,2,3,1,54%,46%,4,2,,,2,0,523,453,442,369,85%,81%
8,592223,0,2020-11-22T12:00:00+00:00,Craven Cottage,36,45,1,3,2,3,6,7,4,0,14,9,4,2,7,7,7,2,14,10,2,5,2,3,54%,46%,2,0,,,4,4,620,518,522,403,84%,78%
9,592235,0,2020-11-28T17:30:00+00:00,Goodison Park,45,63,0,0,0,1,8,6,6,11,15,23,1,6,10,17,5,6,8,14,4,2,2,6,41%,59%,1,2,,,5,8,391,542,307,453,79%,84%
10,592243,1,2020-12-05T12:30:00+00:00,Turf Moor,44,45,1,1,1,1,3,6,2,3,8,13,3,4,5,8,3,5,6,9,8,4,0,3,41%,59%,,,,,5,2,396,581,311,480,79%,83%
11,592253,2,2020-12-12T20:00:00+00:00,Goodison Park,45,49,1,0,1,0,4,3,3,4,9,10,2,3,8,4,1,6,10,11,6,6,4,1,28%,72%,2,3,,,3,3,241,639,162,539,67%,84%
12,592265,0,2020-12-16T18:00:00+00:00,King Power Stadium,46,45,0,1,0,2,2,6,4,1,14,11,8,4,5,9,9,2,12,9,4,6,2,2,61%,39%,2,3,,,4,2,547,344,464,265,85%,77%
13,592275,2,2020-12-19T17:30:00+00:00,Goodison Park,45,42,2,1,2,1,2,2,4,7,9,13,3,4,3,9,6,4,9,9,4,3,1,0,42%,58%,1,3,,,1,1,401,551,324,489,81%,89%
14,592288,0,2020-12-26T20:00:00+00:00,Bramall Lane,62,45,0,0,0,1,2,3,5,3,10,7,3,1,9,4,1,3,11,10,5,3,0,2,43%,57%,2,4,,,2,1,420,545,305,432,73%,79%
15,592295,0,2020-12-28T20:00:00+00:00,Goodison Park,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,592305,0,2021-01-01T17:30:00+00:00,Goodison Park,45,48,0,0,0,1,2,5,5,5,10,11,3,1,5,7,5,4,9,7,5,4,2,0,60%,40%,2,0,,,4,2,588,391,491,297,84%,76%
17,592318,0,2021-01-12T20:15:00+00:00,Molineux Stadium,39,45,1,1,1,2,3,3,6,1,12,5,3,1,7,5,5,0,6,11,6,5,0,1,52%,48%,2,2,,,1,2,558,500,509,444,91%,89%
