fixture_id,h_result,event_date,venue,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage,h_win_odds,h_draw_odds,h_lose_odds,away_team,away_team_id,home_team,home_team_id
592308,2,2021-01-04T20:00:00+00:00,,1,0,1,0,3,1,3,11,7,16,1,4,1,11,6,5,5,12,1,10,6,1,32%,68%,1,3,,,1,1,350,674,230,540,66%,80%,5.5,4.5,1.55,Liverpool,40,Southampton,41
592316,2,2021-01-12T18:00:00+00:00,,0,0,1,0,4,3,6,3,17,7,7,1,13,4,4,3,13,12,5,2,2,2,66%,34%,2,5,0,1,3,3,559,283,484,193,87%,68%,2.5,3.15,3.25,Newcastle,34,Sheffield Utd,62
592141,0,2021-01-12T20:15:00+00:00,,0,0,0,1,0,7,6,2,11,13,5,4,6,9,5,4,15,13,3,4,3,2,37%,63%,1,2,,,6,0,334,566,220,475,66%,84%,8,4.6,1.4,Manchester United,33,Burnley,44
592318,0,2021-01-12T20:15:00+00:00,,1,1,1,2,3,3,6,1,12,5,3,1,7,5,5,0,6,11,6,5,0,1,52%,48%,2,2,,,1,2,558,500,509,444,91%,89%,2.45,3.1,3.1,Everton,45,Wolves,39
592320,2,2021-01-13T18:00:00+00:00,,1,0,1,0,6,1,4,3,16,5,6,1,13,2,3,3,4,12,8,4,2,2,65%,35%,0,2,,,1,5,717,381,644,296,90%,78%,1.2,7.25,12.5,Brighton,51,Manchester City,50
592299,1,2021-01-13T20:15:00+00:00,,1,0,1,1,6,4,6,5,15,15,3,6,10,10,5,5,13,15,6,5,2,2,52%,48%,1,2,,,3,5,522,467,427,376,82%,81%,1.53,4.33,6,Fulham,36,Tottenham,47
592311,1,2021-01-14T20:00:00+00:00,,0,0,0,0,4,2,5,6,11,12,2,4,5,8,6,4,10,11,7,3,1,1,67%,33%,1,1,,,2,4,684,336,593,256,87%,76%,1.65,3.9,6,Crystal Palace,52,Arsenal,42
592330,,2021-01-16T12:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,3.7,7.45,West Brom,60,Wolves,39
592324,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,3.5,3.6,Brighton,51,Leeds,63
592329,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,3.6,4.6,Burnley,44,West Ham,48
592323,,2021-01-16T17:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,4.33,1.5,Chelsea,49,Fulham,36
592325,,2021-01-16T20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,3.7,4.9,Southampton,41,Leicester,46
592322,,2021-01-17T12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4,1.88,Everton,45,Aston Villa,66
592328,,2021-01-17T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3.9,1.57,Tottenham,47,Sheffield Utd,62
592326,,2021-01-17T16:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.96,3.69,Manchester United,33,Liverpool,40
592327,,2021-01-17T19:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,8,15.5,Crystal Palace,52,Manchester City,50
592321,,2021-01-18T20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,4.6,7.5,Newcastle,34,Arsenal,42
592317,,2021-01-19T18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,4.2,6.05,West Brom,60,West Ham,48
592315,,2021-01-19T20:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.45,2.35,Chelsea,49,Leicester,46
592314,,2021-01-20T18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,3.7,2.85,Southampton,41,Leeds,63
592145,,2021-01-20T18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,6.1,10.25,Aston Villa,66,Manchester City,50
592313,,2021-01-20T20:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4.3,1.56,Manchester United,33,Fulham,36
592319,,2021-01-21T20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,7.25,12,Burnley,44,Liverpool,40
