fixture_id,h_result,event_date,venue,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage,h_win_odds,h_draw_odds,h_lose_odds,a_halftime_score,away_team,away_team_id,home_team,home_team_id
654113,1,2021-01-04T00:30:00+00:00,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,3.7,3.5,1.87,1,Racing Club,436,Central Cordoba de Santiago,1065
654109,0,2021-01-04T20:10:00+00:00,,0,1,1,3,3,4,7,2,12,7,2,1,9,4,3,3,19,22,7,4,3,1,60%,40%,2,4,0,0,1,2,398,267,295,174,74%,65%,2.98,3.28,2.45,1,Union Santa Fe,441,Aldosivi,463
654083,0,2021-01-04T22:20:00+00:00,,0,0,1,2,5,6,4,7,15,14,6,1,10,11,5,3,15,20,9,6,1,6,55%,45%,1,4,1,0,4,4,387,303,310,230,80%,76%,2.2,3,3.1,0,Gimnasia L.P.,434,San Lorenzo,460
654084,2,2021-01-05T00:30:00+00:00,,2,1,3,2,7,3,2,7,11,14,2,4,7,7,4,7,19,9,3,8,1,3,55%,45%,7,3,0,1,1,4,414,325,351,257,85%,79%,2.25,3.1,3,1,Banfield,449,Talleres Cordoba,456
654080,0,2021-01-05T22:20:00+00:00,,0,0,0,1,1,3,6,5,8,11,1,3,4,3,4,8,11,17,4,0,1,1,51%,49%,1,2,0,0,2,0,324,315,186,181,57%,57%,2.9,2.9,2.65,0,Argentinos JRS,458,Huracan,445
654114,2,2021-01-05T22:20:00+00:00,,1,0,1,0,4,1,8,8,13,14,1,5,6,7,7,7,11,15,3,7,1,1,37%,63%,3,3,0,0,1,3,293,491,171,370,58%,75%,3.75,3.1,1.95,0,Estudiantes L.P.,450,Godoy Cruz,439
654082,0,2021-01-06T00:30:00+00:00,,0,0,0,2,0,4,4,4,5,9,1,1,1,6,4,3,13,17,2,6,2,2,46%,54%,3,3,1,0,1,0,384,432,261,322,68%,75%,2.7,3,2.5,0,Colon Santa Fe,448,Atletico Tucuman,455
654115,0,2021-01-09T20:10:00+00:00,,1,2,1,2,6,3,5,6,17,11,6,2,10,4,7,7,14,11,5,4,1,1,62%,38%,1,2,0,0,2,4,462,280,391,179,85%,64%,1.65,3.6,4.75,2,Patronato,444,Union Santa Fe,441
654116,2,2021-01-09T20:10:00+00:00,,2,0,2,0,7,8,5,4,13,16,1,4,6,8,7,8,9,17,1,8,4,1,52%,48%,0,1,0,0,8,5,509,451,431,366,85%,81%,2.7,3.2,2.37,0,Rosario Central,437,Lanus,446
654118,2,2021-01-09T22:20:00+00:00,,2,1,3,2,7,3,6,5,16,9,3,1,10,6,6,3,16,21,8,2,1,0,64%,36%,0,2,1,1,1,4,552,299,481,218,87%,73%,1.68,3.75,4.75,1,Godoy Cruz,439,Velez Sarsfield,438
