Unnamed: 0,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,11902,2,2017-08-13T15:00:00+00:00,Old Trafford,33,48,1,0,4,0,5,1,8,6,21,9,8,2,13,6,8,3,19,7,11,1,1.0,4.0,55%,45%,2.0,2.0,,,1.0,1.0,493,397,417,316,85%,80%
1,11901,0,2017-08-19T11:30:00+00:00,Liberty Stadium,76,33,0,1,0,4,0,8,5,6,5,17,0,3,3,10,2,7,12,11,3,5,1.0,0.0,41%,59%,1.0,1.0,,,4.0,0.0,406,601,315,523,78%,87%
2,11886,2,2017-08-26T16:30:00+00:00,Old Trafford,33,46,0,0,2,0,7,4,7,5,22,11,8,2,12,5,10,6,8,7,9,3,2.0,3.0,69%,31%,1.0,2.0,,,4.0,5.0,662,300,576,208,87%,69%
3,11875,1,2017-09-09T16:30:00+00:00,bet365 Stadium,75,33,1,1,2,2,5,8,4,5,10,18,1,5,6,11,4,7,10,10,5,11,1.0,4.0,36%,64%,,,,,7.0,3.0,332,564,252,490,76%,87%
4,11862,2,2017-09-17T15:00:00+00:00,Old Trafford,33,45,1,0,4,0,7,3,5,2,16,7,4,2,12,5,4,2,15,14,4,1,2.0,3.0,49%,51%,1.0,1.0,,,3.0,3.0,476,510,403,415,85%,81%
5,11858,0,2017-09-23T14:00:00+00:00,St. Mary's Stadium,41,33,0,1,0,1,4,4,6,3,14,9,4,2,8,6,6,3,12,9,8,4,3.0,2.0,60%,40%,1.0,4.0,,,3.0,3.0,544,368,453,288,83%,78%
6,11847,2,2017-09-30T14:00:00+00:00,Old Trafford,33,52,2,0,4,0,7,1,6,4,18,6,5,1,14,4,4,2,6,9,6,5,2.0,1.0,59%,41%,,,,,1.0,3.0,566,377,474,295,84%,78%
7,11841,1,2017-10-14T11:30:00+00:00,Anfield,40,33,0,0,0,0,5,1,8,2,19,6,6,3,11,2,8,4,7,13,7,3,3.0,1.0,62%,38%,0.0,2.0,,,1.0,5.0,580,354,500,267,86%,75%
8,11825,2,2017-10-21T14:00:00+00:00,John Smith's Stadium,37,33,2,0,2,1,3,3,0,3,5,9,2,3,4,6,1,3,10,12,4,7,2.0,3.0,22%,78%,4.0,2.0,,,2.0,1.0,210,741,116,643,55%,87%
9,11821,2,2017-10-28T11:30:00+00:00,Old Trafford,33,47,0,0,1,0,3,4,5,5,11,13,3,4,8,6,3,7,12,14,6,3,2.0,1.0,44%,56%,1.0,0.0,,,4.0,2.0,405,509,283,394,70%,77%
