,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,71,1,2018-08-11T16:30:00+00:00,Molineux Stadium,39,45,1,1,2,2,4,5,5,3,11,8,2,0,3,7,8,1,8,7,3,6,2,3,57%,43%,0,1,0,1,3,2,547,409,452,307,83%,75%
1,78,2,2018-08-18T14:00:00+00:00,King Power Stadium,46,39,2,0,2,0,2,3,2,7,6,11,2,1,1,6,5,5,10,8,1,9,0,1,42%,58%,2,1,1,0,2,1,382,500,316,404,83%,81%
2,85,1,2018-08-25T11:30:00+00:00,Molineux Stadium,39,50,0,0,1,1,2,6,6,6,11,18,3,6,7,9,4,9,13,8,5,9,4,3,28%,72%,1,2,,,5,1,260,644,177,577,68%,90%
3,101,0,2018-09-01T14:00:00+00:00,London Stadium,48,39,0,0,0,1,3,6,5,7,13,15,5,2,8,6,5,9,10,11,4,4,1,0,47%,53%,2,1,,,5,3,444,495,356,414,80%,84%
4,112,2,2018-09-16T12:30:00+00:00,Molineux Stadium,39,44,0,0,1,0,7,2,13,5,30,7,10,0,20,2,10,5,10,9,8,2,1,1,58%,42%,2,4,,,2,5,567,395,469,297,83%,75%
5,121,1,2018-09-22T14:00:00+00:00,Old Trafford,33,39,1,0,1,1,6,8,3,3,15,11,6,0,5,5,10,6,5,17,5,4,3,2,64%,36%,1,1,,,7,5,684,379,583,282,85%,74%
6,131,2,2018-09-29T14:00:00+00:00,Molineux Stadium,39,41,0,0,2,0,6,6,6,4,14,17,2,7,10,7,4,10,11,7,8,6,0,2,48%,52%,3,1,,,6,4,425,444,352,365,83%,82%
7,137,0,2018-10-06T14:00:00+00:00,Selhurst Park,52,39,0,0,0,1,4,2,4,5,11,7,3,0,5,4,6,3,11,13,6,3,1,1,67%,33%,3,4,,,1,4,641,314,530,213,83%,68%
8,154,0,2018-10-20T14:00:00+00:00,Molineux Stadium,39,38,0,2,0,2,1,3,6,2,10,9,3,4,4,5,6,4,23,13,8,2,2,1,44%,56%,3,1,,,1,1,420,550,325,463,77%,84%
9,155,2,2018-10-27T14:00:00+00:00,American Express Community Stadium,51,39,0,0,1,0,1,7,5,8,7,25,1,10,5,13,2,12,11,8,1,10,0,1,39%,61%,3,0,,,7,0,362,523,262,439,72%,84%
