fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
587303,2021-01-08T19:30:00+00:00,Borussia Monchengladbach,Bayern Munich,163,157,2,2,3,2
587304,2021-01-09T14:30:00+00:00,Bayer Leverkusen,Werder Bremen,168,162,0,0,1,1
587305,2021-01-09T14:30:00+00:00,SC Freiburg,FC Koln,160,192,2,0,5,0
587306,2021-01-09T14:30:00+00:00,Union Berlin,VfL Wolfsburg,182,161,1,1,2,2
587307,2021-01-09T14:30:00+00:00,FC Schalke 04,1899 Hoffenheim,174,167,1,0,4,0
587308,2021-01-09T14:30:00+00:00,FSV Mainz 05,Eintracht Frankfurt,164,169,0,1,0,2
587302,2021-01-09T17:30:00+00:00,RB Leipzig,Borussia Dortmund,173,165,0,0,1,3
587309,2021-01-10T14:30:00+00:00,FC Augsburg,VfB Stuttgart,170,172,0,2,1,4
587310,2021-01-10T17:00:00+00:00,Arminia Bielefeld,Hertha Berlin,188,159,0,0,1,0
587316,2021-01-15T19:30:00+00:00,Union Berlin,Bayer Leverkusen,182,168,,,,
587312,2021-01-16T14:30:00+00:00,Borussia Dortmund,FSV Mainz 05,165,164,,,,
587313,2021-01-16T14:30:00+00:00,1899 Hoffenheim,Arminia Bielefeld,167,188,,,,
587314,2021-01-16T14:30:00+00:00,VfL Wolfsburg,RB Leipzig,161,173,,,,
587317,2021-01-16T14:30:00+00:00,FC Koln,Hertha Berlin,192,159,,,,
587318,2021-01-16T14:30:00+00:00,Werder Bremen,FC Augsburg,162,170,,,,
587319,2021-01-16T17:30:00+00:00,VfB Stuttgart,Borussia Monchengladbach,172,163,,,,
587311,2021-01-17T14:30:00+00:00,Bayern Munich,SC Freiburg,157,160,,,,
587315,2021-01-17T17:00:00+00:00,Eintracht Frankfurt,FC Schalke 04,169,174,,,,
587321,2021-01-19T17:30:00+00:00,Borussia Monchengladbach,Werder Bremen,163,162,,,,
587322,2021-01-19T19:30:00+00:00,Bayer Leverkusen,Borussia Dortmund,168,165,,,,
587324,2021-01-19T19:30:00+00:00,Hertha Berlin,1899 Hoffenheim,159,167,,,,
587326,2021-01-19T19:30:00+00:00,FSV Mainz 05,VfL Wolfsburg,164,161,,,,
587325,2021-01-20T17:30:00+00:00,FC Schalke 04,FC Koln,174,192,,,,
587320,2021-01-20T19:30:00+00:00,RB Leipzig,Union Berlin,173,182,,,,
587323,2021-01-20T19:30:00+00:00,SC Freiburg,Eintracht Frankfurt,160,169,,,,
587327,2021-01-20T19:30:00+00:00,FC Augsburg,Bayern Munich,170,157,,,,
587328,2021-01-20T19:30:00+00:00,Arminia Bielefeld,VfB Stuttgart,188,172,,,,
