,fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
0,643581,2020-10-30T22:00:00+00:00,Gimnasia L.P.,Patronato,434,444,1,0,3,0
1,643583,2020-10-31T00:15:00+00:00,Talleres Cordoba,Newells Old Boys,456,457,0,0,3,1
2,643586,2020-10-31T17:00:00+00:00,Aldosivi,Estudiantes L.P.,463,450,0,0,0,0
3,643582,2020-10-31T19:15:00+00:00,Velez Sarsfield,Huracan,438,445,0,1,1,1
4,643585,2020-10-31T21:45:00+00:00,Argentinos JRS,San Lorenzo,458,460,0,0,0,0
5,643584,2020-11-01T00:15:00+00:00,Lanus,Boca Juniors,446,451,1,1,1,2
6,643578,2020-11-01T14:00:00+00:00,Defensa Y Justicia,Colon Santa Fe,442,448,0,1,0,3
7,643576,2020-11-01T17:00:00+00:00,Union Santa Fe,Arsenal Sarandi,441,459,0,0,0,0
8,643575,2020-11-01T19:15:00+00:00,Racing Club,Atletico Tucuman,436,455,0,2,1,4
9,643577,2020-11-01T21:45:00+00:00,Central Cordoba de Santiago,Independiente,1065,453,0,1,0,1
10,643580,2020-11-03T00:15:00+00:00,Rosario Central,Godoy Cruz,437,439,1,0,2,1
11,643579,2020-11-04T00:00:00+00:00,River Plate,Banfield,435,449,1,2,1,3
12,643593,2020-11-06T22:00:00+00:00,Patronato,Huracan,444,445,0,1,1,2
13,643597,2020-11-07T00:15:00+00:00,Argentinos JRS,Aldosivi,458,463,0,0,0,1
14,643592,2020-11-07T19:00:00+00:00,Banfield,Godoy Cruz,449,439,0,0,1,0
15,643598,2020-11-07T21:30:00+00:00,San Lorenzo,Estudiantes L.P.,460,450,1,0,2,0
16,643591,2020-11-08T00:15:00+00:00,River Plate,Rosario Central,435,437,1,0,2,1
17,643588,2020-11-08T14:00:00+00:00,Arsenal Sarandi,Atletico Tucuman,459,455,0,1,1,2
18,643594,2020-11-08T19:15:00+00:00,Gimnasia L.P.,Velez Sarsfield,434,438,0,1,2,2
19,643587,2020-11-08T21:45:00+00:00,Union Santa Fe,Racing Club,441,436,1,0,2,0
