,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,592144,2,2020-09-12T16:30:00+00:00,Anfield,40,63,3,2,4,3,6,3,3,1,22,6,13,2,17,4,5,2,9,6,9,0,2,5,48%,52%,1,0,0,0,0,3,432,459,328,347,76%,76%
1,592153,0,2020-09-20T15:30:00+00:00,Stamford Bridge,49,40,0,0,0,2,3,6,2,9,5,18,0,3,3,10,2,8,10,6,1,11,1,1,38%,62%,0,0,1,0,3,3,488,764,412,681,84%,89%
2,592165,2,2020-09-28T19:00:00+00:00,Anfield,40,42,2,1,3,1,8,3,7,1,21,4,6,0,12,3,9,1,11,7,7,3,0,5,66%,34%,2,2,0,0,2,5,772,395,683,299,88%,76%
3,592172,2,2020-10-04T18:15:00+00:00,Villa Park,66,40,4,1,7,2,11,8,4,1,18,14,3,5,13,10,5,4,7,10,2,7,2,1,30%,70%,2,1,0,0,6,4,285,650,194,554,68%,85%
4,592183,1,2020-10-17T11:30:00+00:00,Goodison Park,45,40,1,1,2,2,5,8,5,8,11,22,1,6,6,15,5,7,15,9,2,5,2,3,41%,59%,3,2,1,0,6,3,380,524,284,437,75%,83%
5,592196,2,2020-10-24T19:00:00+00:00,Anfield,40,62,1,1,2,1,5,2,7,7,17,13,5,4,10,9,7,4,7,15,7,3,2,0,62%,38%,0,3,0,0,1,3,683,406,589,309,86%,76%
6,592205,2,2020-10-31T17:30:00+00:00,Anfield,40,48,1,1,2,1,5,3,3,0,9,4,1,1,6,4,3,0,13,14,1,2,1,0,72%,28%,0,1,0,0,2,4,828,304,732,210,88%,69%
7,592217,1,2020-11-08T16:30:00+00:00,Etihad Stadium,50,40,1,1,1,1,2,3,4,4,7,10,1,3,4,5,3,5,19,11,1,2,2,5,54%,46%,3,1,0,0,2,1,555,458,472,374,85%,82%
8,592225,2,2020-11-22T19:15:00+00:00,Anfield,40,46,2,0,3,0,13,4,8,5,24,11,3,2,19,7,5,4,15,6,10,3,2,1,56%,44%,0,2,0,0,4,9,572,441,488,346,85%,78%
9,592232,1,2020-11-28T12:30:00+00:00,The American Express Community Stadium,51,40,0,0,1,1,3,2,6,1,11,6,2,3,7,3,4,3,9,13,4,3,2,2,40%,60%,2,1,0,0,1,2,352,526,272,428,77%,81%
10,592245,2,2020-12-06T19:15:00+00:00,Anfield,40,39,1,0,4,0,6,3,4,5,11,9,1,1,7,6,4,3,8,14,4,6,1,3,60%,40%,1,1,0,0,3,3,626,395,564,333,90%,84%
11,592254,1,2020-12-13T16:30:00+00:00,Craven Cottage,36,40,1,0,1,1,5,6,4,2,10,12,1,4,6,7,4,5,9,5,6,8,2,2,24%,76%,3,1,0,0,5,4,227,707,153,614,67%,87%
12,592269,2,2020-12-16T20:00:00+00:00,Anfield,40,47,1,1,2,1,11,2,1,6,17,8,5,0,15,5,2,3,8,9,7,4,2,0,75%,25%,0,2,0,0,1,9,813,254,718,156,88%,61%
13,592274,0,2020-12-19T12:30:00+00:00,Selhurst Park,52,40,0,3,0,7,3,8,2,4,5,14,0,2,4,11,1,3,5,11,5,4,7,0,35%,65%,1,0,0,0,0,3,397,743,300,649,76%,87%
14,592286,1,2020-12-27T16:30:00+00:00,Anfield,40,60,1,0,1,1,2,3,11,1,17,5,4,1,8,3,9,2,8,5,7,3,1,5,78%,22%,0,1,0,0,2,1,773,213,682,121,88%,57%
15,592297,1,2020-12-30T20:00:00+00:00,St. James' Park,34,40,0,0,0,0,2,4,4,4,8,11,2,3,5,6,3,5,9,13,5,12,2,4,26%,74%,2,3,0,0,4,2,241,661,159,571,66%,86%
16,592308,2,2021-01-04T20:00:00+00:00,St. Mary's Stadium,41,40,1,0,1,0,3,1,3,11,7,16,1,4,1,11,6,5,5,12,1,10,6,1,32%,68%,1,3,0,0,1,1,350,674,230,540,66%,80%
17,592326,2,2021-01-17T16:30:00+00:00,Anfield,40,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,592319,2,2021-01-21T20:00:00+00:00,Anfield,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,592339,2,2021-01-28T20:00:00+00:00,Tottenham Hotspur Stadium,47,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,592350,2,2021-01-31T16:30:00+00:00,London Stadium,48,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,592360,2,2021-02-03T20:00:00+00:00,Anfield,40,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,592365,2,2021-02-06T15:00:00+00:00,Anfield,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,592731,2,2021-02-13T15:00:00+00:00,King Power Stadium,46,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,592741,2,2021-02-20T15:00:00+00:00,Anfield,40,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,592753,2,2021-02-27T15:00:00+00:00,Bramall Lane,62,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,592760,2,2021-03-06T15:00:00+00:00,Anfield,40,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
