,fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
0,592143,2020-09-12T11:30:00+00:00,Fulham,Arsenal,36,42,0,1,0,3
1,592142,2020-09-12T14:00:00+00:00,Crystal Palace,Southampton,52,41,1,0,1,0
2,592144,2020-09-12T16:30:00+00:00,Liverpool,Leeds,40,63,3,2,4,3
3,592148,2020-09-12T19:00:00+00:00,West Ham,Newcastle,48,34,0,0,0,2
4,592147,2020-09-13T13:00:00+00:00,West Brom,Leicester,60,46,0,0,0,3
5,592146,2020-09-13T15:30:00+00:00,Tottenham,Everton,47,45,0,0,0,1
6,592150,2020-09-14T17:00:00+00:00,Sheffield Utd,Wolves,62,39,0,2,0,2
7,592149,2020-09-14T19:15:00+00:00,Brighton,Chelsea,51,49,0,1,1,3
8,592154,2020-09-19T11:30:00+00:00,Everton,West Brom,45,60,2,1,5,2
9,592155,2020-09-19T14:00:00+00:00,Leeds,Fulham,63,36,2,1,4,3
10,592157,2020-09-19T16:30:00+00:00,Manchester United,Crystal Palace,33,52,0,1,1,3
11,592151,2020-09-19T19:00:00+00:00,Arsenal,West Ham,42,48,1,1,2,1
12,592159,2020-09-20T11:00:00+00:00,Southampton,Tottenham,41,47,1,1,2,5
13,592158,2020-09-20T13:00:00+00:00,Newcastle,Brighton,34,51,0,2,0,3
14,592153,2020-09-20T15:30:00+00:00,Chelsea,Liverpool,49,40,0,0,0,2
15,592156,2020-09-20T18:00:00+00:00,Leicester,Burnley,46,44,1,1,4,2
16,592152,2020-09-21T17:00:00+00:00,Aston Villa,Sheffield Utd,66,62,0,0,1,0
17,592160,2020-09-21T19:15:00+00:00,Wolves,Manchester City,39,50,0,2,1,3
18,592161,2020-09-26T11:30:00+00:00,Brighton,Manchester United,51,33,1,1,2,3
19,592163,2020-09-26T14:00:00+00:00,Crystal Palace,Everton,52,45,1,2,1,2
20,592169,2020-09-26T16:30:00+00:00,West Brom,Chelsea,60,49,3,0,3,3
