StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
709412,1,20000441,1,2020,Bradley Beal,WAS,SG,57,57,2545.90,2053,10,593.00,1303.00,45.5,423.00,822.00,51.5,170.00,481.00,35.3,385.00,457.00,84.2,52.00,190.00,242.00,347.00,71.00,23.00,194.00,126.00,1741.00,2639.90,2752.00,-201.00,8.00,0.00
709563,1,20000442,1,2020,John Wall,WAS,PG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
709421,1,20000733,1,2020,C.J. Miles,WAS,SF,0,10,120.40,161,1,19.00,59.00,32.2,8.00,24.00,33.3,11.00,35.00,31.4,15.00,20.00,75.0,4.00,8.00,12.00,12.00,10.00,4.00,4.00,14.00,64.00,134.40,128.50,-8.00,0.00,0.00
709654,1,20000737,1,2020,Ian Mahinmi,WAS,C,35,38,723.10,807,53,104.00,210.00,49.5,99.00,184.00,53.8,5.00,26.00,19.2,70.00,113.00,61.9,78.00,140.00,218.00,49.00,31.00,44.00,45.00,114.00,283.00,798.10,760.50,-81.00,1.00,0.00
709691,1,20000775,1,2020,Shabazz Napier,WAS,PG,32,56,1192.60,1344,29,188.00,456.00,41.2,112.00,216.00,51.9,76.00,240.00,31.7,126.00,153.00,82.4,26.00,132.00,158.00,262.00,69.00,11.00,128.00,101.00,578.00,1272.60,1307.00,-96.00,2.00,1.00
709704,1,20000901,1,2020,Ish Smith,WAS,PG,23,68,1586.80,1787,0,308.00,689.00,44.7,246.00,520.00,47.3,62.00,169.00,36.7,62.00,86.00,72.1,30.00,189.00,219.00,334.00,59.00,30.00,95.00,106.00,740.00,1675.80,1677.75,-140.00,1.00,0.00
792761,1,20001404,1,2020,Jerian Grant,WAS,PG,0,6,48.70,80,20,10.00,27.00,37.0,8.00,19.00,42.1,2.00,8.00,25.0,5.00,7.00,71.4,2.00,4.00,6.00,9.00,1.00,1.00,3.00,11.00,27.00,50.70,51.50,-3.00,0.00,0.00
709749,1,20001668,1,2020,Davis Bertans,WAS,SF,4,54,1347.00,1583,3,265.00,610.00,43.4,65.00,138.00,47.1,200.00,472.00,42.4,104.00,122.00,85.2,35.00,210.00,245.00,92.00,37.00,33.00,59.00,139.00,834.00,1417.00,1490.25,-12.00,1.00,0.00
746663,1,20001730,1,2020,Gary Payton,WAS,PG,17,29,341.00,431,40,48.00,116.00,41.4,35.00,70.00,50.0,13.00,46.00,28.3,4.00,8.00,50.0,26.00,54.00,80.00,48.00,33.00,7.00,20.00,54.00,113.00,381.00,363.00,-139.00,1.00,0.00
777415,1,20001767,1,2020,Jarrod Uthoff,WAS,SF,0,7,28.20,53,9,7.00,18.00,38.9,4.00,9.00,44.4,3.00,9.00,33.3,2.00,2.00,100,2.00,4.00,6.00,0.00,1.00,0.00,0.00,2.00,19.00,29.20,30.00,10.00,0.00,0.00
744015,1,20001851,1,2020,Anzejs Pasecniks,WAS,C,0,26,329.40,436,53,61.00,116.00,52.6,61.00,113.00,54.0,0.00,3.00,0,34.00,58.00,58.6,42.00,65.00,107.00,18.00,9.00,12.00,24.00,75.00,156.00,350.40,346.75,-4.00,0.00,0.00
709422,1,20001852,1,2020,Thomas Bryant,WAS,C,36,46,1225.70,1146,51,243.00,418.00,58.1,206.00,327.00,63.0,37.00,91.00,40.7,86.00,116.00,74.1,98.00,233.00,331.00,83.00,25.00,49.00,53.00,103.00,609.00,1299.70,1303.75,-161.00,11.00,0.00
708366,1,20002000,1,2020,Jerome Robinson,WAS,SG,6,63,645.30,979,10,115.00,310.00,37.1,66.00,157.00,42.0,49.00,153.00,32.0,40.00,57.00,70.2,13.00,116.00,129.00,87.00,28.00,17.00,49.00,112.00,319.00,690.30,700.75,-34.00,0.00,0.00
709572,1,20002002,1,2020,Troy Brown,WAS,SF,22,69,1547.60,1781,56,273.00,622.00,43.9,212.00,443.00,47.9,61.00,179.00,34.1,109.00,139.00,78.4,76.00,307.00,383.00,178.00,85.00,7.00,79.00,132.00,716.00,1639.60,1645.75,-225.00,6.00,0.00
