game_id,day,team,team_id,opp,opp_id,home,favored_spread,opening_spread,spread,move_spread,move_spread_direction,cover_spread,opening_o/u,o/u,move_o/u,move_o/u_direction,cover_o/u,days_between_games,travel_between_games
13931,2019-10-26,ATL,3,ORL,5,1,0,0.0,2.5,2.5,0,1,219.0,216.5,-2.5,0,0,5.0,0
13955,2019-10-29,ATL,3,MIA,4,0,0,7.5,8.5,1.0,0,0,224.5,223.5,-1.0,0,0,3.0,1
13969,2019-10-31,ATL,3,MIA,4,1,0,6.5,6.5,0.0,1,0,216.5,215.0,-1.5,0,0,2.0,1
14022,2019-11-08,ATL,3,SAC,30,1,0,-1.0,2.5,3.5,0,0,219.5,225.5,6.0,1,1,8.0,0
14041,2019-11-10,ATL,3,POR,19,0,0,8.5,9.0,0.5,0,0,228.0,226.5,-1.5,0,1,2.0,1
14068,2019-11-14,ATL,3,PHO,29,0,0,7.0,8.0,1.0,0,0,227.0,229.5,2.5,1,1,4.0,0
14085,2019-11-16,ATL,3,LAC,28,0,0,13.0,9.5,-3.5,1,0,227.5,224.0,-3.5,0,1,2.0,0
14091,2019-11-17,ATL,3,LAL,27,0,0,14.0,14.0,0.0,1,0,218.5,221.0,2.5,1,1,1.0,0
14107,2019-11-20,ATL,3,MIL,15,1,0,10.0,11.0,1.0,0,1,233.0,232.5,-0.5,0,1,3.0,1
14118,2019-11-22,ATL,3,DET,14,0,0,5.5,6.5,1.0,0,0,225.0,226.5,1.5,1,1,2.0,1
14131,2019-11-23,ATL,3,TOR,10,1,0,7.0,7.5,0.5,0,1,223.5,223.0,-0.5,0,1,1.0,1
14146,2019-11-25,ATL,3,MIN,16,1,0,4.0,4.5,0.5,0,0,233.5,235.5,2.0,1,1,2.0,0
14163,2019-11-27,ATL,3,MIL,15,0,0,14.5,14.5,0.0,1,1,239.5,240.0,0.5,1,0,2.0,1
14185,2019-11-30,ATL,3,HOU,22,0,0,13.5,14.0,0.5,0,0,238.5,238.0,-0.5,0,1,3.0,0
14198,2019-12-02,ATL,3,GS,26,1,1,-5.5,-6.5,-1.0,1,1,223.0,223.5,0.5,1,0,2.0,1
14239,2019-12-08,ATL,3,CHA,2,0,0,2.0,2.0,0.0,1,1,225.0,223.0,-2.0,0,1,6.0,1
14264,2019-12-11,ATL,3,CHI,11,0,0,5.0,6.5,1.5,0,0,222.0,221.5,-0.5,0,1,3.0,0
14276,2019-12-13,ATL,3,IND,13,1,0,6.0,6.0,0.0,1,0,222.5,224.5,2.0,1,0,2.0,1
14293,2019-12-15,ATL,3,LAL,27,1,0,12.0,12.0,0.0,1,1,224.0,230.0,6.0,1,0,2.0,0
14306,2019-12-17,ATL,3,NY,6,0,0,1.0,2.0,1.0,0,0,220.5,225.0,4.5,1,1,2.0,1
14319,2019-12-19,ATL,3,UTA,17,1,0,6.5,6.5,0.0,1,1,224.0,225.0,1.0,1,0,2.0,1
14334,2019-12-21,ATL,3,BKN,8,0,0,6.5,7.5,1.0,0,0,227.5,232.0,4.5,1,1,2.0,1
14347,2019-12-23,ATL,3,CLE,12,0,1,2.0,-1.5,-3.5,1,0,228.5,229.5,1.0,1,1,2.0,0
14372,2019-12-27,ATL,3,MIL,15,1,0,12.0,7.0,-5.0,1,0,237.5,235.5,-2.0,0,0,4.0,1
14429,2020-01-04,ATL,3,IND,13,1,0,6.0,7.5,1.5,0,1,222.0,220.5,-1.5,0,1,8.0,0
14461,2020-01-08,ATL,3,HOU,22,1,0,8.0,7.5,-0.5,1,1,235.0,237.5,2.5,1,0,4.0,0
14489,2020-01-12,ATL,3,BKN,8,0,0,5.5,9.0,3.5,0,0,231.0,226.5,-4.5,0,0,4.0,1
14527,2020-01-17,ATL,3,SA,24,0,0,8.5,8.5,0.0,1,1,229.5,229.5,0.0,1,1,5.0,0
14532,2020-01-18,ATL,3,DET,14,1,0,2.0,1.0,-1.0,1,0,227.0,227.5,0.5,1,1,1.0,1
14543,2020-01-20,ATL,3,TOR,10,1,0,8.0,9.0,1.0,0,1,231.0,231.5,0.5,1,1,2.0,0
14590,2020-01-26,ATL,3,WAS,1,1,1,-1.5,-1.0,0.5,0,1,240.5,241.5,1.0,1,1,6.0,0
14606,2020-01-28,ATL,3,TOR,10,0,0,12.5,12.5,0.0,1,0,233.0,234.0,1.0,1,1,2.0,1
14619,2020-01-30,ATL,3,PHI,7,1,0,7.5,6.5,-1.0,1,1,228.0,228.5,0.5,1,1,2.0,1
14710,2020-02-12,ATL,3,CLE,12,0,1,-1.0,-2.5,-1.5,1,0,233.0,234.5,1.5,1,0,13.0,1
14740,2020-02-22,ATL,3,DAL,25,1,1,6.5,-2.0,-8.5,1,1,239.0,236.5,-2.5,0,0,10.0,1
14770,2020-02-26,ATL,3,ORL,5,1,0,2.0,2.5,0.5,0,0,227.0,230.5,3.5,1,1,4.0,0
14808,2020-03-02,ATL,3,MEM,21,1,1,-1.0,-2.0,-1.0,1,0,238.5,240.0,1.5,1,0,5.0,0
14833,2020-03-06,ATL,3,WAS,1,0,0,3.5,5.5,2.0,0,0,244.5,240.0,-4.5,0,0,4.0,1
14860,2020-03-09,ATL,3,CHA,2,1,1,-4.0,-5.0,-1.0,1,0,225.0,222.0,-3.0,0,1,3.0,1
14872,2020-03-11,ATL,3,NY,6,1,1,-4.5,-5.0,-0.5,1,0,230.0,232.5,2.5,1,1,2.0,0
13940,2019-10-27,BKN,8,MEM,21,0,1,-4.0,-4.5,-0.5,1,0,224.0,224.5,0.5,1,1,5.0,1
13962,2019-10-30,BKN,8,IND,13,1,1,-3.0,-3.0,0.0,1,0,221.0,221.5,0.5,1,1,3.0,1
13973,2019-11-01,BKN,8,HOU,22,1,0,3.5,4.5,1.0,0,1,241.0,245.0,4.0,1,0,2.0,0
13981,2019-11-02,BKN,8,DET,14,0,1,-1.0,-4.0,-3.0,1,0,224.0,222.5,-1.5,0,0,1.0,1
14028,2019-11-08,BKN,8,POR,19,0,0,2.5,3.5,1.0,0,1,232.5,240.5,8.0,1,0,6.0,0
14040,2019-11-10,BKN,8,PHO,29,0,0,1.0,2.0,1.0,0,0,232.5,232.5,0.0,1,1,2.0,0
14055,2019-11-12,BKN,8,UTA,17,0,0,7.5,6.5,-1.0,1,1,220.0,220.5,0.5,1,1,2.0,0
14069,2019-11-14,BKN,8,DEN,20,0,0,7.0,7.5,0.5,0,0,225.5,223.5,-2.0,0,0,2.0,0
14078,2019-11-16,BKN,8,CHI,11,0,0,1.0,4.0,3.0,0,1,231.5,226.5,-5.0,0,1,2.0,0
