,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,592148,0,2020-09-12T19:00:00+00:00,London Stadium,48,34,0,0,0,2,3,2,5,7,15,15,7,6,10,10,5,5,13,7,8,7,2,4,58%,42%,2,2,,,0,3,474,342,393,266,83%,78%
1,592158,0,2020-09-20T13:00:00+00:00,St. James' Park,34,51,0,2,0,3,0,6,4,6,6,13,2,1,3,6,3,7,16,15,7,1,1,2,47%,53%,3,0,0,1,4,0,386,444,296,358,77%,81%
2,592168,1,2020-09-27T13:00:00+00:00,Tottenham Hotspur Stadium,47,34,1,0,1,1,12,1,7,2,23,6,4,3,15,4,8,2,15,9,10,4,0,1,65%,35%,1,4,,,0,11,640,319,564,247,88%,77%
3,592178,2,2020-10-03T19:00:00+00:00,St. James' Park,34,44,1,0,3,1,5,3,4,2,10,7,1,2,6,6,4,1,13,17,3,4,4,5,47%,53%,2,3,,,2,2,416,455,310,338,75%,74%
4,592187,0,2020-10-17T19:00:00+00:00,St. James' Park,34,33,1,1,1,4,4,14,2,6,7,28,1,8,3,15,4,13,9,12,0,7,0,2,36%,64%,1,1,,,8,4,358,629,256,541,72%,86%
5,592200,1,2020-10-25T16:30:00+00:00,Molineux Stadium,39,34,0,0,1,1,3,2,8,0,16,5,5,3,4,2,12,3,10,10,2,3,,,63%,37%,0,1,,,1,3,702,400,640,329,91%,82%
6,592207,2,2020-11-01T14:00:00+00:00,St. James' Park,34,45,0,0,2,1,4,4,3,6,11,15,4,5,7,9,4,6,9,10,5,4,1,0,37%,63%,2,4,,,3,2,369,607,285,547,77%,90%
7,592218,2,2020-11-06T20:00:00+00:00,St. Mary's Stadium,41,34,1,0,2,0,8,2,2,1,15,4,5,1,9,3,6,1,12,11,7,3,4,1,60%,40%,1,2,,,2,5,561,360,464,270,83%,75%
8,592227,0,2020-11-21T12:30:00+00:00,St. James' Park,34,49,0,1,0,2,1,3,4,6,8,14,3,5,4,9,4,5,11,12,7,4,2,2,28%,72%,2,0,,,2,1,287,747,211,671,74%,90%
9,592234,0,2020-11-27T20:00:00+00:00,Selhurst Park,52,34,0,0,0,2,3,7,8,5,12,14,1,2,8,7,4,7,9,10,7,3,,,57%,43%,2,2,,,5,3,503,375,413,276,82%,74%
